source_asset_id,target_asset_id,connection_type,relationship_strength
AST_0001,AST_0004,Supplies,0.52
AST_0001,AST_0005,Supplies,0.59
AST_0003,AST_0007,Monitors,0.62
AST_0004,AST_0008,Monitors,0.62
AST_0009,AST_0011,Supplies,0.79
AST_0009,AST_0012,Supplies,0.71
AST_0009,AST_0013,Supplies,0.52
AST_0011,AST_0015,Monitors,0.69
AST_0012,AST_0016,Monitors,0.76
AST_0017,AST_0019,Supplies,0.55
AST_0017,AST_0020,Supplies,0.92
AST_0017,AST_0021,Supplies,0.53
AST_0019,AST_0023,Monitors,0.96
AST_0020,AST_0024,Monitors,0.55
AST_0025,AST_0027,Supplies,0.92
AST_0025,AST_0028,Supplies,0.95
AST_0025,AST_0029,Supplies,0.99
AST_0027,AST_0031,Monitors,0.9
AST_0028,AST_0032,Monitors,0.89
AST_0033,AST_0035,Supplies,0.82
AST_0033,AST_0036,Supplies,0.89
AST_0033,AST_0037,Supplies,0.57
AST_0035,AST_0039,Monitors,0.77
AST_0036,AST_0040,Monitors,0.76
AST_0041,AST_0043,Supplies,0.93
AST_0041,AST_0044,Supplies,0.73
AST_0041,AST_0045,Supplies,0.69
AST_0043,AST_0047,Monitors,0.82
AST_0044,AST_0048,Monitors,0.63
AST_0049,AST_0051,Supplies,0.57
AST_0049,AST_0052,Supplies,0.74
AST_0051,AST_0055,Monitors,0.71
AST_0052,AST_0056,Monitors,0.62
AST_0002,AST_0006,Monitors,0.71
AST_0010,AST_0014,Monitors,0.71
AST_0018,AST_0022,Monitors,0.7
AST_0026,AST_0030,Monitors,0.71
AST_0034,AST_0038,Monitors,0.81
AST_0042,AST_0046,Monitors,0.69
AST_0050,AST_0054,Monitors,0.88
AST_0001,AST_0004,Supplies,0.52
