asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
AST_0001,SITE_A,BLDG_001,Chiller-0001,Chiller,Siemens,2019-07-16,375.6,
AST_0002,SITE_A,BLDG_001,HVAC-0002,HVAC,Honeywell,2022-03-04,95.0,
AST_0003,SITE_A,BLDG_001,AHU-0003,AHU,Johnson Controls,2022-01-05,58.6,AST_9999
AST_0004,SITE_A,BLDG_001,AHU-0004,AHU,Trane,2021-09-18,23.8,AST_0001
AST_0005,SITE_A,BLDG_001,Pump-0005,Pump,Siemens,2019-12-30,22.9,AST_0001
AST_0006,SITE_A,BLDG_001,EnergyMeter-0006,EnergyMeter,Trane,2023-07-30,,
AST_0007,SITE_A,BLDG_001,EnvSensor-0007,EnvSensor,Siemens,2024-07-22,,AST_0003
AST_0008,SITE_A,BLDG_001,EnvSensor-0008,EnvSensor,Trane,2023-10-17,,AST_0004
AST_0009,SITE_A,BLDG_002,Chiller-0009,Chiller,Johnson Controls,2024-08-30,533.1,
AST_0010,SITE_A,BLDG_002,HVAC-0010,HVAC,Siemens,2021-08-15,64.0,
AST_0011,SITE_A,BLDG_002,AHU-0011,AHU,Trane,2024-01-07,67.2,AST_0009
AST_0012,SITE_A,BLDG_002,AHU-0012,AHU,Siemens,2020-09-01,54.1,AST_0009
AST_0013,SITE_A,BLDG_002,Pump-0013,Pump,Siemens,2021-08-25,20.3,AST_0009
AST_0014,SITE_A,BLDG_002,EnergyMeter-0014,EnergyMeter,Daikin,2022-05-28,,
AST_0015,SITE_A,BLDG_002,EnvSensor-0015,EnvSensor,Trane,2024-12-02,,AST_0011
AST_0016,SITE_A,BLDG_002,EnvSensor-0016,EnvSensor,Trane,2024-02-26,,AST_0012
AST_0017,SITE_A,BLDG_003,Chiller-0017,Chiller,Daikin,2024-12-31,362.6,
AST_0018,SITE_A,BLDG_003,HVAC-0018,HVAC,Carrier,2019-08-22,100.1,
AST_0019,SITE_A,BLDG_003,AHU-0019,AHU,Carrier,2024-08-25,46.8,AST_0017
AST_0020,SITE_A,BLDG_003,AHU-0020,AHU,Daikin,2023-02-13,25.3,AST_0017
AST_0021,SITE_A,BLDG_003,Pump-0021,Pump,Honeywell,2021-03-16,24.4,AST_0017
AST_0022,SITE_A,BLDG_003,EnergyMeter-0022,EnergyMeter,Siemens,2020-07-28,,
AST_0023,SITE_A,BLDG_003,EnvSensor-0023,EnvSensor,Johnson Controls,2019-10-08,,AST_0019
AST_0024,SITE_A,BLDG_003,EnvSensor-0024,EnvSensor,Honeywell,2021-10-16,,AST_0020
AST_0025,SITE_B,BLDG_004,Chiller-0025,Chiller,Daikin,2019-11-05,459.9,
AST_0026,SITE_B,BLDG_004,HVAC-0026,HVAC,Johnson Controls,2020-01-30,108.8,
AST_0027,SITE_B,BLDG_004,AHU-0027,AHU,Trane,2023-10-12,54.9,AST_0025
AST_0028,SITE_B,BLDG_004,AHU-0028,AHU,Carrier,2020-10-10,48.9,AST_0025
AST_0029,SITE_B,BLDG_004,Pump-0029,Pump,Johnson Controls,2020-08-29,16.4,AST_0025
AST_0030,SITE_B,BLDG_004,EnergyMeter-0030,EnergyMeter,Trane,2023-11-12,,
AST_0031,SITE_B,BLDG_004,EnvSensor-0031,EnvSensor,Siemens,2021-03-11,,AST_0027
AST_0032,SITE_B,BLDG_004,EnvSensor-0032,EnvSensor,Siemens,2023-01-05,,AST_0028
AST_0033,SITE_B,BLDG_005,Chiller-0033,Chiller,Carrier,2020-12-06,566.4,
AST_0034,SITE_B,BLDG_005,HVAC-0034,HVAC,Johnson Controls,2022-04-17,145.3,
AST_0035,SITE_B,BLDG_005,AHU-0035,AHU,Trane,2022-10-28,35.4,AST_0033
AST_0036,SITE_B,BLDG_005,AHU-0036,AHU,Carrier,2022-03-18,79.5,AST_0033
AST_0037,SITE_B,BLDG_005,Pump-0037,Pump,Honeywell,2024-02-04,11.3,AST_0033
AST_0038,SITE_B,BLDG_005,EnergyMeter-0038,EnergyMeter,Daikin,2021-01-08,,
AST_0039,SITE_B,BLDG_005,EnvSensor-0039,EnvSensor,Honeywell,2019-01-12,,AST_0035
AST_0040,SITE_B,BLDG_005,EnvSensor-0040,EnvSensor,Trane,2023-07-01,,AST_0036
AST_0041,SITE_C,BLDG_006,Chiller-0041,Chiller,Siemens,2025-01-04,588.7,
AST_0042,SITE_C,BLDG_006,HVAC-0042,HVAC,Trane,2020-01-19,100.6,
AST_0043,SITE_C,BLDG_006,AHU-0043,AHU,Siemens,2024-08-02,32.0,AST_0041
AST_0044,SITE_C,BLDG_006,AHU-0044,AHU,Siemens,2019-07-05,27.4,AST_0041
AST_0045,SITE_C,BLDG_006,Pump-0045,Pump,Trane,2024-11-10,24.1,AST_0041
AST_0046,SITE_C,BLDG_006,EnergyMeter-0046,EnergyMeter,Honeywell,2024-10-13,,
