building_id,forecast_origin,target_timestamp,horizon,actual,forecast,baseline
BLDG_001,2026-07-23 00:00:00,2026-07-23 01:00:00,1,107.226,109.629295,105.485
BLDG_001,2026-07-23 00:00:00,2026-07-23 02:00:00,2,101.309,106.09483,115.158
BLDG_001,2026-07-23 00:00:00,2026-07-23 03:00:00,3,119.724,110.505196,105.151
BLDG_001,2026-07-23 00:00:00,2026-07-23 04:00:00,4,111.518,111.59315,100.201
BLDG_001,2026-07-23 00:00:00,2026-07-23 05:00:00,5,109.546,112.03056,110.301
BLDG_001,2026-07-23 00:00:00,2026-07-23 06:00:00,6,113.022,109.40523,112.911
BLDG_001,2026-07-23 00:00:00,2026-07-23 07:00:00,7,109.73,115.11621,97.837
BLDG_001,2026-07-23 00:00:00,2026-07-23 08:00:00,8,310.971,307.35062,306.566
BLDG_001,2026-07-23 00:00:00,2026-07-23 09:00:00,9,120.877,303.13315,306.558
BLDG_001,2026-07-23 00:00:00,2026-07-23 10:00:00,10,119.961,308.16272,310.779
BLDG_001,2026-07-23 00:00:00,2026-07-23 11:00:00,11,121.998,311.8574,316.132
BLDG_001,2026-07-23 00:00:00,2026-07-23 12:00:00,12,305.453,306.9515,320.251
BLDG_001,2026-07-23 00:00:00,2026-07-23 13:00:00,13,310.977,302.9279,314.187
BLDG_001,2026-07-23 00:00:00,2026-07-23 14:00:00,14,307.429,299.9325,298.625
BLDG_001,2026-07-23 00:00:00,2026-07-23 15:00:00,15,306.648,298.05164,291.731
BLDG_001,2026-07-23 00:00:00,2026-07-23 16:00:00,16,307.778,297.229,307.21
BLDG_001,2026-07-23 00:00:00,2026-07-23 17:00:00,17,316.925,297.1185,290.875
BLDG_001,2026-07-23 00:00:00,2026-07-23 18:00:00,18,293.63,297.65677,272.582
BLDG_001,2026-07-23 00:00:00,2026-07-23 19:00:00,19,298.347,292.69135,290.437
BLDG_001,2026-07-23 00:00:00,2026-07-23 20:00:00,20,97.004,103.39073,107.983
BLDG_001,2026-07-23 00:00:00,2026-07-23 21:00:00,21,90.635,105.48311,104.19
BLDG_001,2026-07-23 00:00:00,2026-07-23 22:00:00,22,94.768,104.80879,103.863
BLDG_001,2026-07-23 00:00:00,2026-07-23 23:00:00,23,39.346,104.41525,100.677
BLDG_001,2026-07-23 00:00:00,2026-07-24 00:00:00,24,112.424,104.32788,109.667
BLDG_001,2026-07-23 01:00:00,2026-07-23 02:00:00,1,101.309,110.18568,115.158
BLDG_001,2026-07-23 01:00:00,2026-07-23 03:00:00,2,119.724,107.09511,105.151
BLDG_001,2026-07-23 01:00:00,2026-07-23 04:00:00,3,111.518,112.14858,100.201
BLDG_001,2026-07-23 01:00:00,2026-07-23 05:00:00,4,109.546,112.97716,110.301
BLDG_001,2026-07-23 01:00:00,2026-07-23 06:00:00,5,113.022,109.48864,112.911
BLDG_001,2026-07-23 01:00:00,2026-07-23 07:00:00,6,109.73,114.54206,97.837
BLDG_001,2026-07-23 01:00:00,2026-07-23 08:00:00,7,310.971,307.65155,306.566
BLDG_001,2026-07-23 01:00:00,2026-07-23 09:00:00,8,120.877,303.75616,306.558
BLDG_001,2026-07-23 01:00:00,2026-07-23 10:00:00,9,119.961,308.621,310.779
BLDG_001,2026-07-23 01:00:00,2026-07-23 11:00:00,10,121.998,312.42722,316.132
BLDG_001,2026-07-23 01:00:00,2026-07-23 12:00:00,11,305.453,307.3678,320.251
BLDG_001,2026-07-23 01:00:00,2026-07-23 13:00:00,12,310.977,303.06656,314.187
BLDG_001,2026-07-23 01:00:00,2026-07-23 14:00:00,13,307.429,299.86505,298.625
BLDG_001,2026-07-23 01:00:00,2026-07-23 15:00:00,14,306.648,297.8443,291.731
BLDG_001,2026-07-23 01:00:00,2026-07-23 16:00:00,15,307.778,296.92688,307.21
BLDG_001,2026-07-23 01:00:00,2026-07-23 17:00:00,16,316.925,296.74695,290.875
BLDG_001,2026-07-23 01:00:00,2026-07-23 18:00:00,17,293.63,297.26608,272.582
BLDG_001,2026-07-23 01:00:00,2026-07-23 19:00:00,18,298.347,292.39954,290.437
BLDG_001,2026-07-23 01:00:00,2026-07-23 20:00:00,19,97.004,103.32813,107.983
BLDG_001,2026-07-23 01:00:00,2026-07-23 21:00:00,20,90.635,105.44744,104.19
BLDG_001,2026-07-23 01:00:00,2026-07-23 22:00:00,21,94.768,105.21463,103.863
BLDG_001,2026-07-23 01:00:00,2026-07-23 23:00:00,22,39.346,104.85265,100.677
BLDG_001,2026-07-23 01:00:00,2026-07-24 00:00:00,23,112.424,104.78084,109.667
BLDG_001,2026-07-23 01:00:00,2026-07-24 01:00:00,24,110.387,106.52238,107.226
BLDG_001,2026-07-23 02:00:00,2026-07-23 03:00:00,1,119.724,110.12915,105.151
BLDG_001,2026-07-23 02:00:00,2026-07-23 04:00:00,2,111.518,107.66986,100.201
BLDG_001,2026-07-23 02:00:00,2026-07-23 05:00:00,3,109.546,112.90217,110.301
BLDG_001,2026-07-23 02:00:00,2026-07-23 06:00:00,4,113.022,110.19892,112.911
BLDG_001,2026-07-23 02:00:00,2026-07-23 07:00:00,5,109.73,114.45813,97.837
BLDG_001,2026-07-23 02:00:00,2026-07-23 08:00:00,6,310.971,306.64337,306.566
BLDG_001,2026-07-23 02:00:00,2026-07-23 09:00:00,7,120.877,303.77954,306.558
BLDG_001,2026-07-23 02:00:00,2026-07-23 10:00:00,8,119.961,308.7347,310.779
BLDG_001,2026-07-23 02:00:00,2026-07-23 11:00:00,9,121.998,312.71738,316.132
BLDG_001,2026-07-23 02:00:00,2026-07-23 12:00:00,10,305.453,307.6539,320.251
BLDG_001,2026-07-23 02:00:00,2026-07-23 13:00:00,11,310.977,303.1224,314.187
BLDG_001,2026-07-23 02:00:00,2026-07-23 14:00:00,12,307.429,299.7457,298.625
BLDG_001,2026-07-23 02:00:00,2026-07-23 15:00:00,13,306.648,297.60446,291.731
BLDG_001,2026-07-23 02:00:00,2026-07-23 16:00:00,14,307.778,296.59293,307.21
BLDG_001,2026-07-23 02:00:00,2026-07-23 17:00:00,15,316.925,296.3235,290.875
BLDG_001,2026-07-23 02:00:00,2026-07-23 18:00:00,16,293.63,296.7472,272.582
BLDG_001,2026-07-23 02:00:00,2026-07-23 19:00:00,17,298.347,292.30634,290.437
BLDG_001,2026-07-23 02:00:00,2026-07-23 20:00:00,18,97.004,103.012985,107.983
BLDG_001,2026-07-23 02:00:00,2026-07-23 21:00:00,19,90.635,105.247696,104.19
BLDG_001,2026-07-23 02:00:00,2026-07-23 22:00:00,20,94.768,105.58685,103.863
BLDG_001,2026-07-23 02:00:00,2026-07-23 23:00:00,21,39.346,105.3018,100.677
BLDG_001,2026-07-23 02:00:00,2026-07-24 00:00:00,22,112.424,105.26198,109.667
BLDG_001,2026-07-23 02:00:00,2026-07-24 01:00:00,23,110.387,106.95609,107.226
BLDG_001,2026-07-23 02:00:00,2026-07-24 02:00:00,24,102.311,108.75463,101.309
BLDG_001,2026-07-23 03:00:00,2026-07-23 04:00:00,1,111.518,109.89977,100.201
BLDG_001,2026-07-23 03:00:00,2026-07-23 05:00:00,2,109.546,107.83506,110.301
BLDG_001,2026-07-23 03:00:00,2026-07-23 06:00:00,3,113.022,110.25616,112.911
BLDG_001,2026-07-23 03:00:00,2026-07-23 07:00:00,4,109.73,116.10866,97.837
BLDG_001,2026-07-23 03:00:00,2026-07-23 08:00:00,5,310.971,307.0597,306.566
BLDG_001,2026-07-23 03:00:00,2026-07-23 09:00:00,6,120.877,304.39743,306.558
BLDG_001,2026-07-23 03:00:00,2026-07-23 10:00:00,7,119.961,309.08383,310.779
BLDG_001,2026-07-23 03:00:00,2026-07-23 11:00:00,8,121.998,312.87634,316.132
BLDG_001,2026-07-23 03:00:00,2026-07-23 12:00:00,9,305.453,307.81525,320.251
BLDG_001,2026-07-23 03:00:00,2026-07-23 13:00:00,10,310.977,303.17285,314.187
BLDG_001,2026-07-23 03:00:00,2026-07-23 14:00:00,11,307.429,299.73755,298.625
BLDG_001,2026-07-23 03:00:00,2026-07-23 15:00:00,12,306.648,297.5696,291.731
BLDG_001,2026-07-23 03:00:00,2026-07-23 16:00:00,13,307.778,296.54074,307.21
BLDG_001,2026-07-23 03:00:00,2026-07-23 17:00:00,14,316.925,296.25275,290.875
BLDG_001,2026-07-23 03:00:00,2026-07-23 18:00:00,15,293.63,296.657,272.582
BLDG_001,2026-07-23 03:00:00,2026-07-23 19:00:00,16,298.347,291.8812,290.437
BLDG_001,2026-07-23 03:00:00,2026-07-23 20:00:00,17,97.004,102.73011,107.983
BLDG_001,2026-07-23 03:00:00,2026-07-23 21:00:00,18,90.635,105.24425,104.19
BLDG_001,2026-07-23 03:00:00,2026-07-23 22:00:00,19,94.768,106.4454,103.863
BLDG_001,2026-07-23 03:00:00,2026-07-23 23:00:00,20,39.346,106.24442,100.677
BLDG_001,2026-07-23 03:00:00,2026-07-24 00:00:00,21,112.424,106.20811,109.667
BLDG_001,2026-07-23 03:00:00,2026-07-24 01:00:00,22,110.387,107.846954,107.226
BLDG_001,2026-07-23 03:00:00,2026-07-24 02:00:00,23,102.311,109.51319,101.309
BLDG_001,2026-07-23 03:00:00,2026-07-24 03:00:00,24,100.13,110.97661,119.724
BLDG_001,2026-07-23 04:00:00,2026-07-23 05:00:00,1,109.546,107.60961,110.301
BLDG_001,2026-07-23 04:00:00,2026-07-23 06:00:00,2,113.022,104.97992,112.911
BLDG_001,2026-07-23 04:00:00,2026-07-23 07:00:00,3,109.73,117.58606,97.837
BLDG_001,2026-07-23 04:00:00,2026-07-23 08:00:00,4,310.971,306.00027,306.566
BLDG_001,2026-07-23 04:00:00,2026-07-23 09:00:00,5,120.877,303.82602,306.558
BLDG_001,2026-07-23 04:00:00,2026-07-23 10:00:00,6,119.961,309.34622,310.779
BLDG_001,2026-07-23 04:00:00,2026-07-23 11:00:00,7,121.998,312.76956,316.132
BLDG_001,2026-07-23 04:00:00,2026-07-23 12:00:00,8,305.453,307.83844,320.251
BLDG_001,2026-07-23 04:00:00,2026-07-23 13:00:00,9,310.977,303.22202,314.187
BLDG_001,2026-07-23 04:00:00,2026-07-23 14:00:00,10,307.429,299.78696,298.625
BLDG_001,2026-07-23 04:00:00,2026-07-23 15:00:00,11,306.648,297.57413,291.731
BLDG_001,2026-07-23 04:00:00,2026-07-23 16:00:00,12,307.778,296.47452,307.21
BLDG_001,2026-07-23 04:00:00,2026-07-23 17:00:00,13,316.925,296.14484,290.875
BLDG_001,2026-07-23 04:00:00,2026-07-23 18:00:00,14,293.63,296.54794,272.582
BLDG_001,2026-07-23 04:00:00,2026-07-23 19:00:00,15,298.347,291.8358,290.437
BLDG_001,2026-07-23 04:00:00,2026-07-23 20:00:00,16,97.004,101.99809,107.983
BLDG_001,2026-07-23 04:00:00,2026-07-23 21:00:00,17,90.635,105.01496,104.19
BLDG_001,2026-07-23 04:00:00,2026-07-23 22:00:00,18,94.768,107.08203,103.863
BLDG_001,2026-07-23 04:00:00,2026-07-23 23:00:00,19,39.346,106.92398,100.677
BLDG_001,2026-07-23 04:00:00,2026-07-24 00:00:00,20,112.424,106.83201,109.667
BLDG_001,2026-07-23 04:00:00,2026-07-24 01:00:00,21,110.387,108.389336,107.226
BLDG_001,2026-07-23 04:00:00,2026-07-24 02:00:00,22,102.311,109.95341,101.309
BLDG_001,2026-07-23 04:00:00,2026-07-24 03:00:00,23,100.13,111.41225,119.724
BLDG_001,2026-07-23 04:00:00,2026-07-24 04:00:00,24,100.333,112.4249,111.518
BLDG_001,2026-07-23 05:00:00,2026-07-23 06:00:00,1,113.022,106.35368,112.911
BLDG_001,2026-07-23 05:00:00,2026-07-23 07:00:00,2,109.73,117.885666,97.837
BLDG_001,2026-07-23 05:00:00,2026-07-23 08:00:00,3,310.971,301.43576,306.566
BLDG_001,2026-07-23 05:00:00,2026-07-23 09:00:00,4,120.877,304.72363,306.558
BLDG_001,2026-07-23 05:00:00,2026-07-23 10:00:00,5,119.961,311.00995,310.779
BLDG_001,2026-07-23 05:00:00,2026-07-23 11:00:00,6,121.998,313.19174,316.132
BLDG_001,2026-07-23 05:00:00,2026-07-23 12:00:00,7,305.453,308.39493,320.251
BLDG_001,2026-07-23 05:00:00,2026-07-23 13:00:00,8,310.977,304.05392,314.187
BLDG_001,2026-07-23 05:00:00,2026-07-23 14:00:00,9,307.429,300.74228,298.625
BLDG_001,2026-07-23 05:00:00,2026-07-23 15:00:00,10,306.648,298.38858,291.731
BLDG_001,2026-07-23 05:00:00,2026-07-23 16:00:00,11,307.778,296.97864,307.21
BLDG_001,2026-07-23 05:00:00,2026-07-23 17:00:00,12,316.925,296.3003,290.875
BLDG_001,2026-07-23 05:00:00,2026-07-23 18:00:00,13,293.63,296.4462,272.582
BLDG_001,2026-07-23 05:00:00,2026-07-23 19:00:00,14,298.347,291.43222,290.437
BLDG_001,2026-07-23 05:00:00,2026-07-23 20:00:00,15,97.004,101.22398,107.983
