site,building,floor,asset_id,asset_name,asset_type,parent_asset_id
SITE_A,BLDG_001,Unknown,AST_0001,Chiller-0001,Chiller,
SITE_A,BLDG_001,Unknown,AST_0002,HVAC-0002,HVAC,
SITE_A,BLDG_001,Unknown,AST_0003,AHU-0003,AHU,AST_9999
SITE_A,BLDG_001,Unknown,AST_0004,AHU-0004,AHU,AST_0001
SITE_A,BLDG_001,Unknown,AST_0005,Pump-0005,Pump,AST_0001
SITE_A,BLDG_001,Unknown,AST_0006,EnergyMeter-0006,EnergyMeter,
SITE_A,BLDG_001,Unknown,AST_0007,EnvSensor-0007,EnvSensor,AST_0003
SITE_A,BLDG_001,Unknown,AST_0008,EnvSensor-0008,EnvSensor,AST_0004
SITE_A,BLDG_002,Unknown,AST_0009,Chiller-0009,Chiller,
SITE_A,BLDG_002,Unknown,AST_0010,HVAC-0010,HVAC,
SITE_A,BLDG_002,Unknown,AST_0011,AHU-0011,AHU,AST_0009
SITE_A,BLDG_002,Unknown,AST_0012,AHU-0012,AHU,AST_0009
SITE_A,BLDG_002,Unknown,AST_0013,Pump-0013,Pump,AST_0009
SITE_A,BLDG_002,Unknown,AST_0014,EnergyMeter-0014,EnergyMeter,
SITE_A,BLDG_002,Unknown,AST_0015,EnvSensor-0015,EnvSensor,AST_0011
SITE_A,BLDG_002,Unknown,AST_0016,EnvSensor-0016,EnvSensor,AST_0012
SITE_A,BLDG_003,Unknown,AST_0017,Chiller-0017,Chiller,
SITE_A,BLDG_003,Unknown,AST_0018,HVAC-0018,HVAC,
SITE_A,BLDG_003,Unknown,AST_0019,AHU-0019,AHU,AST_0017
SITE_A,BLDG_003,Unknown,AST_0020,AHU-0020,AHU,AST_0017
SITE_A,BLDG_003,Unknown,AST_0021,Pump-0021,Pump,AST_0017
SITE_A,BLDG_003,Unknown,AST_0022,EnergyMeter-0022,EnergyMeter,
SITE_A,BLDG_003,Unknown,AST_0023,EnvSensor-0023,EnvSensor,AST_0019
SITE_A,BLDG_003,Unknown,AST_0024,EnvSensor-0024,EnvSensor,AST_0020
SITE_B,BLDG_004,Unknown,AST_0025,Chiller-0025,Chiller,
SITE_B,BLDG_004,Unknown,AST_0026,HVAC-0026,HVAC,
SITE_B,BLDG_004,Unknown,AST_0027,AHU-0027,AHU,AST_0025
SITE_B,BLDG_004,Unknown,AST_0028,AHU-0028,AHU,AST_0025
SITE_B,BLDG_004,Unknown,AST_0029,Pump-0029,Pump,AST_0025
SITE_B,BLDG_004,Unknown,AST_0030,EnergyMeter-0030,EnergyMeter,
SITE_B,BLDG_004,Unknown,AST_0031,EnvSensor-0031,EnvSensor,AST_0027
SITE_B,BLDG_004,Unknown,AST_0032,EnvSensor-0032,EnvSensor,AST_0028
SITE_B,BLDG_005,Unknown,AST_0033,Chiller-0033,Chiller,
SITE_B,BLDG_005,Unknown,AST_0034,HVAC-0034,HVAC,
SITE_B,BLDG_005,Unknown,AST_0035,AHU-0035,AHU,AST_0033
SITE_B,BLDG_005,Unknown,AST_0036,AHU-0036,AHU,AST_0033
SITE_B,BLDG_005,Unknown,AST_0037,Pump-0037,Pump,AST_0033
SITE_B,BLDG_005,Unknown,AST_0038,EnergyMeter-0038,EnergyMeter,
SITE_B,BLDG_005,Unknown,AST_0039,EnvSensor-0039,EnvSensor,AST_0035
SITE_B,BLDG_005,Unknown,AST_0040,EnvSensor-0040,EnvSensor,AST_0036
SITE_C,BLDG_006,Unknown,AST_0041,Chiller-0041,Chiller,
SITE_C,BLDG_006,Unknown,AST_0042,HVAC-0042,HVAC,
SITE_C,BLDG_006,Unknown,AST_0043,AHU-0043,AHU,AST_0041
SITE_C,BLDG_006,Unknown,AST_0044,AHU-0044,AHU,AST_0041
SITE_C,BLDG_006,Unknown,AST_0045,Pump-0045,Pump,AST_0041
SITE_C,BLDG_006,Unknown,AST_0046,EnergyMeter-0046,EnergyMeter,
SITE_C,BLDG_006,Unknown,AST_0047,EnvSensor-0047,EnvSensor,AST_0043
SITE_C,BLDG_006,Unknown,AST_0048,EnvSensor-0048,EnvSensor,AST_0044
SITE_C,BLDG_007,Unknown,AST_0049,Chiller-0049,Chiller,
SITE_C,BLDG_007,Unknown,AST_0050,HVAC-0050,HVAC,
SITE_C,BLDG_007,Unknown,AST_0051,AHU-0051,AHU,AST_0049
SITE_C,BLDG_007,Unknown,AST_0052,AHU-0052,AHU,AST_0049
SITE_C,BLDG_007,Unknown,AST_0053,Pump-0053,Pump,
SITE_C,BLDG_007,Unknown,AST_0054,EnergyMeter-0054,EnergyMeter,
SITE_C,BLDG_007,Unknown,AST_0055,EnvSensor-0055,EnvSensor,AST_0051
SITE_C,BLDG_007,Unknown,AST_0056,EnvSensor-0056,EnvSensor,AST_0052
