asset_id,asset_name,asset_type,direct_connections,upstream_dependencies,downstream_dependencies,is_isolated
AST_0001,Chiller-0001,Chiller,2,0,3,False
AST_0002,HVAC-0002,HVAC,1,0,1,False
AST_0003,AHU-0003,AHU,1,0,1,False
AST_0004,AHU-0004,AHU,2,1,1,False
AST_0005,Pump-0005,Pump,1,1,0,False
AST_0006,EnergyMeter-0006,EnergyMeter,1,1,0,False
AST_0007,EnvSensor-0007,EnvSensor,1,1,0,False
AST_0008,EnvSensor-0008,EnvSensor,1,2,0,False
AST_0009,Chiller-0009,Chiller,3,0,5,False
AST_0010,HVAC-0010,HVAC,1,0,1,False
AST_0011,AHU-0011,AHU,2,1,1,False
AST_0012,AHU-0012,AHU,2,1,1,False
AST_0013,Pump-0013,Pump,1,1,0,False
AST_0014,EnergyMeter-0014,EnergyMeter,1,1,0,False
AST_0015,EnvSensor-0015,EnvSensor,1,2,0,False
AST_0016,EnvSensor-0016,EnvSensor,1,2,0,False
AST_0017,Chiller-0017,Chiller,3,0,5,False
AST_0018,HVAC-0018,HVAC,1,0,1,False
AST_0019,AHU-0019,AHU,2,1,1,False
AST_0020,AHU-0020,AHU,2,1,1,False
AST_0021,Pump-0021,Pump,1,1,0,False
AST_0022,EnergyMeter-0022,EnergyMeter,1,1,0,False
AST_0023,EnvSensor-0023,EnvSensor,1,2,0,False
AST_0024,EnvSensor-0024,EnvSensor,1,2,0,False
AST_0025,Chiller-0025,Chiller,3,0,5,False
AST_0026,HVAC-0026,HVAC,1,0,1,False
AST_0027,AHU-0027,AHU,2,1,1,False
AST_0028,AHU-0028,AHU,2,1,1,False
AST_0029,Pump-0029,Pump,1,1,0,False
AST_0030,EnergyMeter-0030,EnergyMeter,1,1,0,False
AST_0031,EnvSensor-0031,EnvSensor,1,2,0,False
AST_0032,EnvSensor-0032,EnvSensor,1,2,0,False
AST_0033,Chiller-0033,Chiller,3,0,5,False
AST_0034,HVAC-0034,HVAC,1,0,1,False
AST_0035,AHU-0035,AHU,2,1,1,False
AST_0036,AHU-0036,AHU,2,1,1,False
AST_0037,Pump-0037,Pump,1,1,0,False
AST_0038,EnergyMeter-0038,EnergyMeter,1,1,0,False
AST_0039,EnvSensor-0039,EnvSensor,1,2,0,False
AST_0040,EnvSensor-0040,EnvSensor,1,2,0,False
AST_0041,Chiller-0041,Chiller,3,0,5,False
AST_0042,HVAC-0042,HVAC,1,0,1,False
AST_0043,AHU-0043,AHU,2,1,1,False
AST_0044,AHU-0044,AHU,2,1,1,False
AST_0045,Pump-0045,Pump,1,1,0,False
AST_0046,EnergyMeter-0046,EnergyMeter,1,1,0,False
AST_0047,EnvSensor-0047,EnvSensor,1,2,0,False
AST_0048,EnvSensor-0048,EnvSensor,1,2,0,False
AST_0049,Chiller-0049,Chiller,2,0,4,False
AST_0050,HVAC-0050,HVAC,1,0,1,False
AST_0051,AHU-0051,AHU,2,1,1,False
AST_0052,AHU-0052,AHU,2,1,1,False
AST_0053,Pump-0053,Pump,0,0,0,True
AST_0054,EnergyMeter-0054,EnergyMeter,1,1,0,False
AST_0055,EnvSensor-0055,EnvSensor,1,2,0,False
AST_0056,EnvSensor-0056,EnvSensor,1,2,0,False
